Value;Qty;PartNumber;PurchaseLink
1N5819;1;1N5819WS;https://www.digikey.com/en/products/detail/shenzhen-slkormicro-semicon-co-ltd/1N5819WS/26112850?s=N4IgTCBcDaIIwDkCsAOOBOEBdAvkA
25MHz;1;ABM3B-25.000MHZ-22-E-4-H-T;https://www.digikey.de/en/products/detail/hkc/3225S42500BMDAODGEE-TR/15292356?https://www.digikey.com/en/products/detail/abracon-llc/ABM3B-25-000MHZ-22-E-4-H-T/8582001
RJ45;1;ARJM11B1-009-AB-EW2;https://www.digikey.com/en/products/detail/abracon-llc/ARJM11B1-009-AB-EW2/7675231
LED_POW;4;B1931NG--20D001114U1930;https://www.digikey.com/en/products/detail/harvatek-corporation/B1931NG-20D001114U1930/15861262
10nF;2;C0603C103K4RECTU;https://www.digikey.de/en/products/detail/kemet/C0603C103K4RECTU/8643658
22pF;2;C0603C220K4GACTU;https://www.digikey.com/en/products/detail/kemet/C0603C220K4GACTU/2200194
56pF;1;C0603C560M3HACTU;https://www.digikey.com/en/products/detail/kemet/C0603C560M3HACTU/7947100
0.1uF;7;CC0603KRX7R7BB104;https://www.digikey.com/en/products/detail/yageo/CC0603KRX7R7BB104/302822
10uF;10;CL10X106MO8NRNC;https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10X106MO8NRNC/5961253
470;2;CRGP0603F470R;https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGP0603F470R/8577014
DSS14U;2;DSS14U;https://www.digikey.com/en/products/detail/smc-diode-solutions/DSS14U/8341859
5k1;2;ERJ-PA2F5101X;https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-PA2F5101X/9815254
D_TVS_Filled;3;ESD9B5.0ST5G;https://www.digikey.com/en/products/detail/onsemi/ESD9B5-0ST5G/1646449
ESP32-S3-WROOM-1;1;ESP32-S3-WROOM-1-N8;https://www.digikey.de/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8/15200089
1nF;1;GRM1885C1H102JA01D;https://www.digikey.com/en/products/detail/murata-electronics/GRM1885C1H102JA01D/586943
22uF;1;GRM188R61A226ME15D;https://www.digikey.com/en/products/detail/murata-electronics/GRM188R61A226ME15D/5027561
6.8nF;2;KGM15AR71C682KT;https://www.digikey.com/en/products/detail/kyocera-avx/KGM15AR71C682KT/1600629
ferrite;2;MH1608-121Y;https://www.digikey.de/en/products/detail/bourns-inc/mh1608-121y/2563311
2.2uH;1;PA4332.222NLT ;https://www.digikey.com/en/products/detail/pulse-electronics/PA4332-222NLT/5878996
SWITCH ;2;PTS526SK15SMTR2 LFS;https://www.digikey.com/en/products/detail/c-k/PTS526SK15SMTR2-LFS/10056626
220K;1;RCS0603220KFKEA;https://www.digikey.com/en/products/detail/vishay-dale/RCS0603220KFKEA/5868737
10K;9;RCS060310K0JNEA;https://www.digikey.com/en/products/detail/vishay-dale/RCS060310K0JNEA/5866963?s=N4IgTCBcDaIKwBYCMBaMAOJB2FqByAIiALoC%2BQA
10;1;RCS060310R0FKEA;https://www.digikey.de/en/products/detail/vishay-dale/RCS060310R0FKEA/5866927
12.4K;1;RCS060312K4FKEA;https://www.digikey.de/en/products/detail/vishay-dale/RCS060312K4FKEA/5868602
1K;7;RCS06031K00FKEA;https://www.digikey.com/en/products/detail/vishay-dale/RCS06031K00FKEA/5866934
1M;1;RCS06031M00FKEA;https://www.digikey.de/en/products/detail/koa-speer-electronics-inc/RK73B2ATTD105J/10235908
32K;1;RCS060332K4FKEA;https://www.digikey.com/en/products/detail/vishay-dale/RCS060332K4FKEA/5868645
49.9;4;RCS060349R9FKEA;https://www.digikey.de/en/products/detail/vishay-dale/RCS060349R9FKEA/5866930
SD12C-7;1;SD12C-7;https://www.digikey.com/en/products/detail/diodes-incorporated/SD12C-7/10295728
74AHC1G125;1;SN74AHC1G125DCKR;https://www.digikey.de/en/products/detail/texas-instruments/SN74AHC1G125DCKR/373804
100K;1;SR0603FR-7T100KL;https://www.digikey.com/en/products/detail/yageo/SR0603FR-7T100KL/9373095
TPS563252DRLR;1;TPS563252DRLR;https://www.digikey.com/en/products/detail/texas-instruments/TPS563252DRLR/20415402
USB_C_Receptacle_USB2.0_16P;1;USB4105-GF-A;https://www.digikey.com/en/products/detail/gct/USB4105-GF-A/11198441
BAT;1;VI0221520000G;https://www.digikey.com/en/products/detail/amphenol-anytek/VI0221520000G/2261274
W5500;1;W5500;https://www.digikey.com/en/products/detail/wiznet/W5500/4425702
